Ground Camera to Satellite Center Distance Analysis
============================================================

Total samples: 33569
Valid projections: 30100
Success rate: 89.67%

Distance Statistics (pixels):
  Mean: 18.19 ± 19.23
  Median: 9.84
  Min: 0.00
  Max: 98.01

Individual Results:
  Sample 292: 5.56 pixels
  Sample 293: 3.95 pixels
  Sample 294: 5.56 pixels
  Sample 295: 3.33 pixels
  Sample 296: 5.72 pixels
  Sample 297: 4.23 pixels
  Sample 298: 5.22 pixels
  Sample 299: 7.56 pixels
  Sample 300: 1.86 pixels
  Sample 301: 0.62 pixels
  Sample 302: 16.93 pixels
  Sample 303: 29.51 pixels
  Sample 304: 27.31 pixels
  Sample 305: 5.07 pixels
  Sample 306: 18.28 pixels
  Sample 307: 7.24 pixels
  Sample 308: 5.56 pixels
  Sample 309: 13.89 pixels
  Sample 310: 5.12 pixels
  Sample 311: 3.39 pixels
  Sample 312: 5.72 pixels
  Sample 313: 6.87 pixels
  Sample 314: 2.00 pixels
  Sample 315: 2.78 pixels
  Sample 316: 1.24 pixels
  Sample 317: 1.94 pixels
  Sample 318: 1.94 pixels
  Sample 319: 11.67 pixels
  Sample 320: 2.99 pixels
  Sample 321: 5.47 pixels
  Sample 322: 16.62 pixels
  Sample 323: 20.01 pixels
  Sample 324: 10.92 pixels
  Sample 325: 5.89 pixels
  Sample 326: 13.90 pixels
  Sample 327: 16.50 pixels
  Sample 328: 1.50 pixels
  Sample 329: 2.78 pixels
  Sample 330: 2.00 pixels
  Sample 331: 1.24 pixels
  Sample 332: 5.34 pixels
  Sample 333: 3.95 pixels
  Sample 334: 14.82 pixels
  Sample 335: 10.61 pixels
  Sample 336: 5.48 pixels
  Sample 337: 1.78 pixels
  Sample 338: 1.11 pixels
  Sample 339: 6.30 pixels
  Sample 340: 1.76 pixels
  Sample 341: 3.00 pixels
  Sample 342: 5.47 pixels
  Sample 343: 22.22 pixels
  Sample 344: 24.02 pixels
  Sample 345: 3.93 pixels
  Sample 346: 10.14 pixels
  Sample 347: 19.52 pixels
  Sample 348: 27.24 pixels
  Sample 349: 32.91 pixels
  Sample 350: 9.49 pixels
  Sample 351: 27.11 pixels
  Sample 352: 7.72 pixels
  Sample 353: 7.68 pixels
  Sample 354: 10.50 pixels
  Sample 355: 12.97 pixels
  Sample 356: 8.48 pixels
  Sample 357: 63.57 pixels
  Sample 358: 32.94 pixels
  Sample 359: 15.74 pixels
  Sample 360: 30.57 pixels
  Sample 361: 18.50 pixels
  Sample 362: 4.39 pixels
  Sample 363: 3.38 pixels
  Sample 364: 4.48 pixels
  Sample 365: 3.25 pixels
  Sample 366: 2.48 pixels
  Sample 367: 11.39 pixels
  Sample 368: 29.92 pixels
  Sample 369: 38.69 pixels
  Sample 370: 27.78 pixels
  Sample 371: 20.49 pixels
  Sample 372: 18.39 pixels
  Sample 373: 14.76 pixels
  Sample 374: 0.28 pixels
  Sample 375: 24.41 pixels
  Sample 376: 18.20 pixels
  Sample 377: 14.72 pixels
  Sample 378: 15.53 pixels
  Sample 379: 1.00 pixels
  Sample 380: 3.34 pixels
  Sample 381: 5.80 pixels
  Sample 382: 4.48 pixels
  Sample 383: 8.07 pixels
  Sample 384: 7.29 pixels
  Sample 385: 29.87 pixels
  Sample 386: 1.76 pixels
  Sample 387: 11.60 pixels
